ID,Nombre,Es Traslado
1,Animales,No
2,Apartamento,No
3,Apto 402 - Venta,No
4,Bancolombia,No
5,Beguido-Venta,No
6,Bosques,No
7,Bosques.Bonsái,No
8,Bosques.Cuadros,No
9,Bosques.Terrarios,No
10,Carro,No
11,Consultorias,No
12,CorAntioquia,No
13,Deporte,No
14,Diversiones,No
15,Donaciones,No
16,Educación,No
17,El Tunal,No
18,Escobillas,No
19,Estafa,No
20,Fiducuenta,No
21,Fotografía,No
22,Impuestos,No
23,Inversiones,No
24,Komorebi,No
25,Libido,No
26,MasterCard COP,No
27,MasterCard USD,No
28,Menaje,No
29,Mercado,No
30,MonteMadero,No
31,Pensión,No
32,Perros,No
33,PH360,No
34,Por Clasificar,No
35,Prestamos,No
36,Protección,No
37,RC Gastos,No
38,Regalo,No
39,Regalos,No
40,Restaurantes,No
41,Ropa,No
42,Saldos,No
43,Salud,No
44,Slow - Venta,No
45,Suscripciones,No
46,Tita,No
47,Traslado,Sí
48,Trasporte,No
49,Trasteos,No
50,Vacaciones,No
51,Varios,No
52,Ventas,No